Date,Year,Month,Quarter,Sample,MOE,Voters,NYRT,NYWD,USRT,USWD,Fav_Biden,Unf_Biden,Fav_Trump,Unf_Trump,Fav_Cuomo,Unf_Cuomo,Fav_NYSA,Unf_NYSA,Fav_NYSS,Unf_NYSS,Fav_Schumer,Unfav_Schumer,Fav_Gillibrand,Unfav_Gillibrand,Fav_DiNapoli,Unf_DiNapoli,Fav_James,Unf_James,Fav_Hochul,Unfav_Hochul
01/13/2008,2008,January,1,625,3.90%,,39%,38%,,,,,,,51%,,,,,,60%,,,,11%,,,,,
02/20/2008,2008,February,1,633,3.90%,Registered,33%,41%,,,,,,,,,,,,,,,,,,,,,,
03/24/2008,2008,March,1,620,3.90%,Registered,34%,41%,,,,,,,53%,,,,,,,,,,,,,,,
04/22/2008,2008,April,2,624,3.90%,Registered,33%,48%,19%,72%,,,,,,,,,,,,,,,14%,,,,,
05/19/2008,2008,May,2,625,3.90%,Registered,32%,43%,,,,,,,56%,,,,,,61%,,,,,,,,,
06/16/2008,2008,June,2,624,3.90%,Registered,30%,46%,,,,,,,57%,,,,,,,,,,,,,,,
07/14/2008,2008,July,3,626,3.90%,Registered,36%,39%,,,,,,,57%,,,,,,,,,,18%,,,,,
08/14/2008,2008,August,3,627,3.90%,Registered,34%,44%,,,,,,,54%,,,,,,,,,,,,,,,
09/15/2008,2008,September,3,626,3.90%,Likely,35%,37%,28%,56%,46%,,,,54%,,,,,,,,,,,,,,,
10/02/2008,2008,October,4,631,3.90%,Likely,35%,40%,,,54%,,,,,,,,,,,,,,,,,,,
10/27/2008,2008,October,4,721,3.60%,Likely,39%,41%,19%,69%,62%,,,,59%,,,,,,,,,,17%,,,,,
11/17/2008,2008,November,4,626,3.90%,Registered,39%,43%,44%,44%,,,,,61%,,,,,,60%,,,,18%,,,,,
12/17/2008,2008,December,4,622,3.90%,Registered,37%,44%,41%,48%,,,,,59%,,,,,,61%,,,,,,,,,
01/26/2009,2009,January,1,627,3.90%,Registered,39%,42%,61%,24%,,,,,64%,,,,,,,,,,,,,,,
01/29/2009,2009,January,1,622,3.90%,Registered,,,,,,,,,,,,,,,66%,,30%,,,,,,,
02/24/2009,2009,February,1,622,3.90%,Registered,31%,53%,48%,39%,,,,,69%,,,,,,,,34%,,16%,,,,,
03/12/2009,2009,March,1,712,3.70%,Likely,30%,52%,50%,36%,,,,,68%,,,,,,,,26%,,,,,,,
04/20/2009,2009,April,2,682,3.80%,Registered,27%,57%,61%,29%,,,,,66%,,,,,,,,33%,,,,,,,
05/26/2009,2009,May,2,622,3.90%,Registered,33%,52%,62%,31%,,,,,66%,,,,,,63%,,33%,,19%,,,,,
07/20/2009,2009,July,3,623,3.90%,Registered,23%,64%,49%,41%,,,,,63%,,31%,,20%,,,,,,,,,,,
08/24/2009,2009,August,3,621,3.90%,Registered,28%,57%,52%,37%,,,,,70%,,,,,,,,29%,,16%,,,,,
09/21/2009,2009,September,3,792,3.50%,Registered,,,49%,42%,,,,,,,,,,,,,,,,,,,,
09/22/2009,2009,September,3,792,3.50%,Registered,28%,57%,,,,,,,66%,,,,,,,,29%,,,,,,,
10/20/2009,2009,October,4,624,3.90%,Registered ,24%,61%,48%,43%,,,,,67%,,,,,,,,28%,,,,,,,
11/16/2009,2009,November,4,800,3.50%,Registered,24%,60%,,,,,,,70%,,,,,,60%,,34%,,20%,,,,,
12/15/2009,2009,December,4,665,3.80%,Registered,,,,,,,,,,,,,,,60%,,31%,,,,,,,
01/18/2010,2010,January,1,806,3.50%,Registered,27%,61%,41%,51%,,,,,67%,,29%,,30%,,,,30%,,,,,,,
02/22/2010,2010,February,1,805,3.50%,Registered,25%,63%,,,,,,,66%,,,,,,61%,,34%,,,,,,,
03/08/2010,2010,March,1,712,3.70%,Registered,16%,70%,,,,,,,63%,,,,,,,,,,,,,,,
03/22/2010,2010,March,1,810,3.40%,Registered,18%,70%,36%,54%,,,,,63%,,,,,,62%,,32%,,19%,,,,,
04/19/2010,2010,April,2,806,3.50%,Registered,20%,68%,45%,47%,,,,,66%,,,,,,,,34%,,20%,,,,,
05/24/2010,2010,May,2,905,3.30%,Registered,16%,72%,,,,,,,67%,,,,,,64%,,42%,,25%,,,,,
06/14/2010,2010,June,2,808,3.40%,Registered,18%,65%,,,,,,,59%,,,,,,54%,,36%,,19%,,,,,
07/15/2010,2010,July,3,760,3.60%,Registered,20%,71%,41%,52%,,,,,62%,,25%,,25%,,60%,,34%,,21%,,,,,
08/18/2010,2010,August,3,788,3.50%,Registered,21%,67%,,,,,,,61%,,,,,,,,40%,,22%,,,,,
09/23/2010,2010,September,3,801,3.50%,Registered,21%,68%,38%,53%,,,,,60%,,,,,,58%,,43%,,21%,,,,,
10/05/2010,2010,October,4,636,3.90%,Likely,16%,72%,,,,,,,56%,,,,,,,,,,,,,,,
10/20/2010,2010,October,4,647,3.90%,Likely,14%,75%,,,,,,,62%,,,,,,66%,,51%,,30%,,,,,
10/31/2010,2010,October,4,603,4.00%,Likely,14%,76%,,,,,,,57%,,,,,,64%,,52%,,26%,,,,,
11/15/2010,2010,November,4,802,3.50%,Registered,32%,54%,39%,51%,,,,,64%,,,,,,67%,,50%,,30%,,,,,
12/13/2010,2010,December,4,806,3.50%,Registered,29%,60%,30%,59%,,,,,66%,,,,,,,,,,,,,,,
12/14/2010,2010,December,4,665,3.80%,Registered,24%,61%,43%,49%,,,,,67%,,,,,,,,,,22%,,,,,
01/17/2011,2011,January,1,776,3.50%,Registered,36%,50%,36%,54%,,,,,70%,,29%,,33%,,,,,,28%,,,,,
02/14/2011,2011,February,1,801,3.50%,Registered,47%,39%,44%,47%,,,,,77%,,,,,,,,57%,,,,,,,
03/28/2011,2011,March,1,802,3.50%,Registered,43%,45%,34%,57%,,,,,69%,,30%,,32%,,,,,,,,,,,
04/11/2011,2011,April,2,777,3.50%,Registered,46%,41%,,,,,,,73%,,,,,,,,,,,,,,,
05/19/2011,2011,May,2,807,3.40%,Registered,40%,49%,43%,49%,,,,,,,32%,54%,33%,56%,62%,30%,51%,20%,21%,25%,,,,
06/13/2011,2011,June,2,819,3.40%,Registered,38%,47%,,,,,,,68%,21%,26%,56%,30%,56%,,,,,,,,,,
07/14/2011,2011,July,3,813,3.40%,Registered,48%,40%,35%,55%,,,,,71%,21%,38%,47%,41%,49%,,,49%,21%,,,,,,
08/11/2011,2011,August,3,1008,3.10%,Registered,44%,47%,20%,74%,,,,,69%,22%,,,,,,,46%,24%,,,,,,
09/27/2011,2011,September,3,808,3.40%,Registered,45%,44%,,,,,,,72%,18%,,,,,59%,30%,46%,25%,,,,,,
10/18/2011,2011,October,4,800,3.50%,Registered,,,22%,71%,,,,,,,,,,,,,,,,,,,,
11/15/2011,2011,November,4,803,3.50%,Registered,42%,46%,26%,66%,,,,,72%,22%,,,,,,,49%,25%,,,,,,
01/16/2012,2012,January,1,805,3.50%,Registered,51%,38%,37%,56%,,,,,73%,20%,39%,46%,39%,49%,,,49%,25%,,,,,,
02/06/2012,2012,February,1,807,3.40%,Registered,52%,36%,42%,51%,,,,,74%,18%,,,,,,,52%,20%,24%,18%,,,,
03/05/2012,2012,March,1,808,3.40%,Registered,50%,40%,,,,,,,69%,25%,37%,49%,42%,46%,,,,,25%,23%,,,,
03/07/2012,2012,March,1,808,3.40%,Registered,,,40%,52%,,,,,,,,,,,,,54%,24%,,,,,,
04/10/2012,2012,April,2,808,3.40%,Registered,55%,34%,38%,54%,,,,,73%,22%,,,,,,,51%,25%,,,,,,
06/11/2012,2012,June,2,807,3.40%,Registered,53%,37%,,,,,,,70%,24%,,,,,,,50%,24%,,,,,,
06/12/2012,2012,June,2,807,3.40%,Registered,,,40%,53%,,,,,,,,,,,,,,,,,,,,
07/17/2012,2012,July,3,758,3.60%,Registered,53%,36%,44%,52%,,,,,69%,22%,42%,45%,43%,48%,,,49%,24%,,,,,,
08/21/2012,2012,August,3,671,3.80%,Registered,56%,33%,46%,48%,56%,38%,,,71%,24%,,,,,65%,26%,50%,26%,24%,17%,,,,
10/26/2012,2012,October,4,750,3.60%,Likely,53%,35%,48%,45%,,,,,67%,24%,41%,41%,45%,42%,,,56%,22%,,,,,,
12/05/2012,2012,December,4,822,3.40%,Registered,55%,32%,50%,43%,,,,,72%,21%,41%,40%,45%,41%,65%,24%,61%,18%,26%,18%,,,,
01/17/2013,2013,January,1,676,3.80%,Registered,57%,33%,46%,49%,,,,,71%,24%,45%,42%,45%,45%,,,,,,,,,,
03/11/2013,2013,March,1,803,3.50%,Registered,50%,42%,32%,60%,,,,,64%,30%,,,,,59%,28%,56%,22%,22%,15%,,,,
04/22/2013,2013,April,2,811,3.40%,Registered,48%,42%,,,,,,,62%,33%,39%,49%,40%,53%,,,,,,,,,,
05/20/2013,2013,May,2,623,3.90%,Registered,49%,44%,41%,56%,,,,,64%,32%,39%,45%,52%,24%,,,,,,,,,,
08/12/2013,2013,August,3,814,3.40%,Registered,47%,40%,37%,54%,,,,,65%,30%,37%,48%,40%,48%,65%,27%,57%,22%,26%,18%,,,,
10/21/2013,2013,October,4,822,3.40%,Registered,44%,44%,,,,,,,62%,32%,43%,41%,41%,47%,,,,,,,,,,
10/22/2013,2013,October,4,822,3.40%,Registered,,,19%,74%,,,30%,59%,,,,,,,,,,,,,,,,
11/18/2013,2013,November,4,806,3.50%,Registered,46%,44%,,,,,,,61%,32%,34%,41%,35%,52%,,,,,27%,19%,,,,
01/20/2014,2014,January,1,808,3.40%,Registered,52%,36%,37%,55%,,,38%,57%,66%,28%,41%,43%,46%,42%,,,,,28%,17%,,,,
02/25/2014,2014,February,1,802,3.50%,Registered,48%,40%,39%,55%,,,31%,62%,60%,35%,37%,49%,37%,51%,61%,29%,54%,23%,26%,21%,,,,
03/24/2014,2014,March,1,813,3.40%,Registered,46%,43%,36%,57%,,,,,58%,34%,39%,46%,39%,49%,,,,,,,,,,
04/22/2014,2014,April,2,772,3.50%,Registered,46%,44%,,,,,,,57%,38%,36%,47%,40%,48%,,,,,29%,17%,,,,
06/16/2014,2014,June,2,835,3.40%,Registered,50%,39%,,,,,,,63%,31%,,,,,,,,,26%,12%,,,,
07/21/2014,2014,July,3,774,3.50%,Registered,49%,40%,38%,56%,,,,,61%,35%,39%,43%,41%,45%,62%,27%,55%,23%,28%,16%,,,,
08/11/2014,2014,August,3,863,3.30%,Registered,47%,40%,,,,,,,57%,36%,,,,,,,,,26%,13%,,,,
09/26/2014,2014,September,3,809,3.40%,Registered,48%,43%,36%,55%,,,,,55%,40%,40%,44%,40%,46%,,,,,30%,17%,,,,
10/22/2014,2014,October,4,748,3.60%,Likely,46%,46%,33%,60%,,,,,54%,43%,,,,,,,,,35%,19%,,,,
12/19/2014,2014,December,4,639,3.90%,Registered,41%,45%,34%,57%,54%,37%,,,58%,37%,39%,41%,41%,44%,61%,29%,50%,21%,27%,19%,,,,
01/20/2015,2015,January,1,802,3.50%,Registered,46%,45%,38%,55%,,,,,60%,35%,42%,41%,45%,44%,,,,,,,,,,
02/24/2015,2015,February,1,930,3.80%,Registered,,,36%,52%,60%,32%,25%,71%,,,,,,,,,,,,,,,,
03/23/2015,2015,March,1,800,3.50%,Registered,46%,42%,40%,52%,,,,,57%,39%,41%,46%,44%,46%,,,,,29%,18%,,,,
04/27/2015,2015,April,2,785,4.00%,Registered,46%,42%,37%,55%,,,,,56%,39%,38%,49%,42%,48%,,,,,,,,,,
05/26/2015,2015,May,2,695,3.70%,Registered,44%,46%,,,,,,,53%,44%,43%,46%,41%,49%,,,,,,,,,,
07/06/2015,2015,July,3,802,3.90%,Registered,,,40%,51%,,,25%,71%,,,,,,,62%,27%,54%,18%,,,,,,
09/12/2015,2015,September,3,817,4.00%,Registered,,,32%,59%,,,,,,,,,,,,,,,,,,,,
09/24/2015,2015,September,3,817,4.00%,Registered,41%,49%,,,,,,,50%,42%,,,,,61%,29%,,,,,,,,
10/26/2015,2015,October,4,806,4.00%,Registered,46%,39%,,,,,,,50%,42%,36%,44%,42%,42%,58%,30%,,,29%,19%,,,,
12/14/2015,2015,December,4,822,4.00%,Registered,42%,43%,32%,59%,,,,,51%,38%,33%,49%,38%,47%,57%,28%,,,,,,,,
02/08/2016,2016,February,1,930,3.80%,Registered,,,36%,52%,60%,32%,25%,71%,,,,,,,,,,,,,,,,
03/07/2016,2016,March,1,800,4.10%,Registered,,,35%,52%,59%,36%,29%,67%,,,,,,,,,,,,,,,,
04/24/2016,2016,April,2,802,4.10%,Registered,43%,46%,,,,,26%,70%,54%,41%,39%,47%,42%,48%,57%,32%,,,,,,,,
05/31/2016,2016,May,2,825,3.90%,Registered,43%,46%,34%,57%,,,27%,68%,54%,40%,32%,49%,34%,52%,59%,30%,,,,,,,,
06/30/2016,2016,June,2,803,4.00%,Registered,44%,43%,33%,58%,,,28%,68%,56%,38%,39%,46%,41%,47%,60%,28%,52%,21%,25%,18%,,,,
08/15/2016,2016,August,3,717,4.30%,Registered,47%,40%,,,,,,,53%,40%,41%,40%,41%,45%,58%,31%,,,,,,,,
09/20/2016,2016,September,3,600,5.00%,Registered,53%,38%,41%,51%,,,29%,68%,57%,39%,44%,40%,48%,41%,64%,26%,,,,,,,,
10/19/2016,2016,October,4,611,4.60%,Likely ,51%,41%,40%,54%,,,26%,69%,56%,41%,,,,,63%,28%,,,,,,,,
11/06/2016,2016,November,4,617,4.50%,Likely,,,,,,,34%,63%,,,,,,,,,,,,,,,,
12/06/2016,2016,December,4,807,3.80%,Registered,48%,38%,34%,56%,,,41%,53%,56%,36%,43%,40%,48%,39%,67%,23%,51%,22%,26%,14%,,,,
01/30/2017,2017,January,1,812,3.90%,Registered ,54%,34%,39%,48%,,,37%,55%,56%,37%,45%,35%,49%,36%,63%,29%,,,,,,,,
02/27/2017,2017,February,1,723,4.20%,Registered,55%,38%,34%,56%,,,36%,59%,60%,34%,46%,38%,50%,40%,64%,31%,46%,24%,,,,,,
03/27/2017,2017,March,1,791,3.90%,Registered,49%,39%,31%,61%,,,33%,63%,54%,40%,46%,36%,45%,39%,60%,33%,,,28%,14%,,,,
04/24/2017,2017,April,2,714,4.10%,Registered,52%,33%,36%,51%,,,34%,61%,54%,37%,45%,36%,46%,38%,,,,,,,,,,
05/24/2017,2017,May,2,770,4.00%,Registered,52%,33%,,,,,,,61%,31%,45%,34%,48%,35%,,,,,,,,,,
05/25/2017,2017,May,2,770,4.00%,Registered,,,28%,61%,,,30%,65%,,,,,,,57%,33%,,,,,,,,
07/18/2017,2017,July,3,793,4.00%,Registered,46%,40%,,,,,,,52%,41%,41%,41%,44%,43%,,,,,,,,,,
07/20/2017,2017,July,3,793,4.00%,Registered,,,33%,58%,,,34%,62%,,,,,,,53%,37%,43%,24%,,,,,,
09/05/2017,2017,September,3,771,4.20%,Registered,,,27%,62%,,,29%,66%,,,,,,,58%,32%,49%,23%,,,,,,
11/01/2017,2017,November,4,814,3.40%,Registered,48%,40%,,,,,31%,65%,52%,43%,39%,44%,37%,48%,,,58%,26%,,,,,,
01/16/2018,2018,January,1,824,4.00%,Registered,50%,35%,33%,58%,,,32%,63%,62%,30%,42%,36%,44%,39%,59%,,51%,23%,27%,12%,,,,
02/12/2018,2018,February,1,823,3.90%,Registered,48%,39%,,,,,,,53%,40%,44%,35%,44%,40%,,,,,,,,,,
03/19/2018,2018,March,1,772,4.00%,Registered,46%,42%,33%,58%,,,33%,63%,52%,40%,41%,38%,39%,44%,54%,36%,49%,25%,28%,14%,,,,
04/17/2018,2018,April,2,692,4.30%,Registered,44%,44%,30%,63%,,,31%,65%,49%,44%,41%,41%,41%,45%,53%,38%,48%,29%,26%,15%,,,,
06/13/2018,2018,June,2,745,3.70%,Registered,45%,41%,39%,54%,,,38%,59%,51%,44%,40%,43%,41%,45%,56%,37%,53%,28%,32%,15%,20%,10%,,
09/28/2018,2018,September,3,701,3.90%,Likely,42%,44%,38%,56%,,,37%,59%,50%,46%,,,,,,,,,,,,,,
11/04/2018,2018,November,4,641,3.90%,Likely,40%,47%,39%,56%,,,39%,58%,45%,49%,,,,,,,46%,34%,33%,16%,28%,12%,,
01/14/2019,2019,January,1,805,4.10%,Registered,49%,40%,,,,,,,51%,43%,48%,32%,49%,38%,,,,,34%,16%,39%,18%,,
02/11/2019,2019,February,1,778,4.30%,Registered,44%,45%,35%,57%,,,35%,59%,43%,50%,43%,38%,43%,41%,47%,46%,44%,34%,,,,,,
03/18/2019,2019,March,1,700,4.20%,Registered,43%,46%,34%,57%,,,36%,60%,46%,48%,44%,35%,46%,38%,51%,41%,43%,33%,,,,,,
04/16/2019,2019,April,2,735,4.10%,Registered,42%,46%,36%,54%,,,38%,59%,47%,48%,48%,33%,46%,39%,49%,43%,41%,35%,29%,17%,34%,18%,,
06/10/2019,2019,June,2,812,4.10%,Registered,44%,43%,,,,,34%,63%,52%,42%,47%,36%,46%,39%,54%,40%,44%,36%,,,,,,
08/06/2019,2019,August,3,810,4.10%,Registered,45%,44%,37%,53%,,,35%,62%,43%,50%,43%,38%,45%,40%,53%,39%,41%,36%,23%,17%,36%,18%,,
09/17/2019,2019,September,3,798,4.10%,Registered,47%,40%,33%,59%,,,32%,64%,48%,46%,42%,35%,46%,36%,48%,39%,41%,36%,,,,,,
10/15/2019,2019,October,4,742,4.30%,Registered,46%,44%,31%,62%,,,30%,67%,49%,47%,44%,39%,47%,35%,49%,41%,,,,,,,,
11/21/2019,2019,November,4,797,4.00%,Registered,45%,42%,32%,58%,,,32%,65%,44%,49%,45%,34%,45%,39%,51%,40%,,,,,,,,
01/21/2020,2020,January,1,814,4.10%,Registered,49%,41%,,,,,31%,64%,49%,45%,40%,35%,43%,38%,54%,,45%,29%,27%,15%,36%,15%,,
02/24/2020,2020,February,1,658,4.50%,Registered,41%,46%,38%,55%,45%,47%,36%,61%,,,,,,,,,,,,,,,,
03/30/2020,2020,March,1,566,4.50%,Registered,56%,27%,42%,47%,51%,40%,35%,59%,71%,23%,,,,,52%,38%,,,,,,,,
04/27/2020,2020,April,2,803,3.70%,Registered,65%,28%,34%,60%,60%,36%,31%,66%,77%,21%,57%,29%,58%,31%,55%,39%,55%,31%,,,,,,
06/30/2020,2020,June,2,806,3.90%,Registered,52%,38%,28%,64%,53%,39%,33%,62%,65%,31%,45%,30%,45%,34%,,,,,,,,,,
09/27/2020,2020,September,3,504,4.40%,Likely,46%,34%,24%,62%,62%,33%,29%,66%,59%,33%,,,,,,,,,,,,,,
11/24/2020,2020,November,4,803,4.10%,Registered,50%,37%,38%,48%,63%,31%,33%,64%,56%,39%,47%,28%,50%,31%,45%,39%,39%,29%,22%,16%,33%,,,
1/19/21,2021,January,1,804,4.10%,Registered,50%,40%,31%,59%,62%,32%,30%,66%,57%,39%,48%,28%,51%,30%,45%,39%,43%,29%,21%,14%,35%,17%,,
2/16/21,2021,February,1,804,4.30%,Registered,48%,41%,49%,42%,65%,29%,26%,67%,56%,39%,45%,31%,47%,33%,49%,39%,,,,,36%,17%,,
3/15/21,2021,March,1,805,4.10%,Registered,48%,38%,50%,41%,64%,30%,31%,66%,43%,45%,49%,25%,50%,28%,49%,35%,43%,27%,,,40%,14%,23%,14%
4/19/21,2021,April,2,801,4.30%,Registered,49%,40%,45%,45%,62%,33%,33%,64%,40%,52%,42%,30%,46%,32%,49%,38%,,,,,39%,17%,18%,13%
5/24/21,2021,May,2,793,4.00%,Registered,48%,40%,46%,43%,62%,34%,,,44%,48%,46%,32%,47%,34%,50%,39%,41%,32%,23%,14%,38%,20%,,
6/1/21,2021,June,2,809,4.10%,Registered,48%,38%,45%,44%,63%,34%,,,45%,47%,45%,29%,48%,33%,50%,38%,,,,,34%,21%,,
9/14/21,2021,September,3,700,4.20%,Registered,48%,37%,40%,48%,57%,37%,33%,61%,34%,55%,45%,30%,46%,33%,52%,33%,44%,23%,22%,14%,38%,18%,42%,17%
10/19/21,2021,October,4,801,4.10%,Registered,44%,43%,35%,54%,51%,44%,37%,59%,33%,60%,,,,,50%,40%,,,,,39%,19%,42%,26%
12/7/21,2021,December,4,785,4.00%,Registered,41%,45%,34%,56%,52%,44%,36%,58%,,,,,,,48%,38%,,,,,40%,25%,42%,28%
1/18/22,2022,January,1,806,4.00%,Registered,41%,43%,31%,57%,52%,42%,33%,61%,,,45%,32%,45%,36%,51%,38%,44%,28%,24%,16%,40%,25%,45%,29%
2/22/22,2022,February,1,803,3.90%,Registered,41%,45%,34%,57%,48%,48%,35%,59%,,,40%,37%,44%,39%,47%,39%,,,,,39%,23%,46%,32%
3/28/22,2022,March,1,804,4.20%,Registered,40%,49%,36%,57%,50%,46%,34%,61%,33%,60%,,,,,50%,40%,,,,,42%,27%,45%,35%
4/25/22,2022,April,2,806,3.90%,Registered,36%,52%,34%,57%,51%,45%,34%,61%,,,40%,38%,37%,42%,,,,,,,,,44%,34%
6/16/22,2022,June,2,802,3.90%,Registered,37%,51%,25%,68%,49%,46%,33%,63%,,,37%,38%,41%,40%,50%,40%,,,21%,14%,40%,28%,46%,37%
8/2/22,2022,August,3,806,3.50%,Likely,36%,50%,19%,71%,48%,48%,32%,63%,,,,,,,49%,43%,,,22%,11%,43%,29%,46%,41%
9/28/22,2022,September,3,655,3.90%,Likely,41%,47%,31%,59%,51%,46%,32%,63%,,,,,,,50%,40%,,,20%,12%,45%,30%,47%,40%
10/18/22,2022,October,4,707,4.90%,Likely,39%,52%,30%,61%,53%,45%,36%,61%,,,,,,,53%,40%,,,21%,13%,42%,33%,45%,41%
12/13/22,2022,December,4,816,4.10%,Registered,38%,50%,32%,59%,48%,46%,37%,58%,,,,,,,49%,40%,42%,27%,27%,12%,44%,29%,45%,43%
1/23/23,2023,January,1,821,4.30%,Registered,39%,49%,28%,63%,49%,47%,31%,64%,,,44%,34%,44%,38%,,,,,,,,,48%,42%
2/27/23,2023,February,1,744,5.00%,Registered,41%,49%,35%,56%,54%,43%,37%,60%,,,45%,37%,45%,39%,48%,45%,43%,36%,,,,,46%,43%
3/27/23,2023,March,1,802,4.60%,Registered,39%,48%,33%,57%,48%,45%,38%,57%,,,44%,34%,50%,34%,54%,36%,46%,25%,,,,,43%,43%
5/16/23,2023,May,2,810,4.10%,Registered,42%,48%,28%,63%,51%,45%,30%,64%,,,40%,36%,41%,41%,50%,38%,41%,31%,,,,,40%,45%
6/28/23,2023,June,2,817,3.90%,Registered,38%,50%,32%,61%,47%,47%,33%,61%,,,38%,36%,41%,38%,46%,38%,41%,31%,22%,20%,39%,30%,42%,43%
8/22/23,2023,August,3,803,4.40%,Registered,39%,48%,30%,62%,46%,50%,37%,56%,,,,,,,48%,38%,39%,28%,,,,,40%,46%
9/19/23,2023,September,3,804,4.30%,Registered,35%,52%,33%,59%,50%,45%,33%,61%,,,,,,,47%,37%,41%,27%,,,,,40%,41%
10/24/23,2023,October,4,1225,3.40%,Registered,34%,52%,25%,65%,45%,52%,36%,59%,,,,,,,44%,41%,39%,30%,,,,,40%,44%
11/20/23,2023,November,4,803,4.60%,Registered,36%,53%,25%,66%,44%,51%,34%,60%,,,,,,,46%,40%,42%,26%,,,,,40%,43%
1/22/24,2024,January,1,807,4.50%,Registered,34%,55%,31%,60%,43%,53%,37%,57%,,,,,,,49%,38%,42%,28%,21%,15%,45%,30%,45%,42%
2/20/24,2024,February,1,806,4.20%,Registered,36%,52%,31%,62%,46%,50%,37%,58%,,,,,,,48%,40%,40%,32%,,,,,41%,46%
4/22/24,2024,April,2,806,4.10%,Registered,35%,53%,27%,64%,45%,52%,37%,59%,,,35%,38%,37%,42%,47%,42%,39%,31%,,,,,40%,49%
5/22/24,2024,May,2,1191,3.90%,Registered,35%,52%,29%,61%,45%,50%,39%,56%,,,,,,,46%,40%,39%,32%,22%,17%,39%,33%,38%,46%
6/20/24,2024,June,2,805,4.10%,Registered,37%,52%,31%,61%,42%,53%,37%,59%,,,36%,37%,38%,39%,43%,44%,40%,31%,,,,,38%,49%